language,title,author,lyrics,,
english,Fairest Lord Jesus,Munster Gesangbuch,"Beautiful Savior, King of Creation
 Son of God and Son of Man!
 Truly I would love Thee, truly I would serve Thee,
 Light of my soul, my joy, my crown.
 
 Fair are the meadows, Fair are the woodlands,
 Robed in the flowers of blooming spring;
 Jesus is fairer, Jesus is purer,
 He makes our sorrowing spirit sing.
 
 Fair is the sunshine, Fair is the moonlight,
 Bright the sparkling stars on high;
 Jesus shines brighter, Jesus shines purer
 Than all the angels in the sky.
 
 Beautiful Savior, Lord of the nations,
 Son of God and Son of Man!
 Glory and honor, Praise and adoration
 Now and forevermore be Thine!",,
indonesia,Ku Tak Tahu,William Y. Fullerton,"Ku tak tahu, yang disembah malaikat,
 mengapa Ia mengasihi dunia,
 bagaikan gembala cari domba-Nya,
 tuntun mereka pulang ke kandang-Nya.
 Namun ku tahu Dia lahir dari Maria,
 dibaringkan di dalam palungan,
 dibesarkan dan bekerja di Nazareth,
 ku tahu benar Juruselamatku telah datang.
 
 Ku tak tahu, betapa Ia menderita,
 dan damai-Nya yang menghiburkanku,
 hati-Nya pun hancur di atas salib,
 mahkota duri sebagai gantinya.
 Namun ku tahu Dia sembuhkan lukaku,
 dan menghapus segala dosaku,
 beban berat dijadikan-Nya ringan,
 untuk manusia berdosa Kristus lahir.
 
 Ku tak tahu, mengapa bangsa milik-Nya,
 mengapa Ia menerima pusaka,
 segala pengharapan manusia,
 pasti Tuhan kan menggenapinya.
 Namun ku tahu ku kan tampak mulia-Nya,
 yang ditabur pasti Ia kan tuai,
 suatu saat keadilan-Nya nyata,
 saat Yesus yang bangkit datang ke dunia.",,
indonesia,Yesus sayang padaku,Anna B. Warner,"Yesus sayang padaku, Alkitab memberi tahu,
 Walau ku kecil lemah tapi Yesus sayanglah.
 Yesus Tuhanku, sayang padaku,
 Itu firman-Nya di dalam Alkitab.
 
 Yesus sayang padaku, Yesus mati bagiku,
 Dosaku dihapus-Nya, ku kini diterima-Nya.
 Yesus Tuhanku, sayang padaku,
 Itu firman-Nya di dalam Alkitab.
 
 Yesus sayang padaku, meski ku tak berdaya,
 Dari takhta mulia, aku dikuatkan-Nya,
 Yesus Tuhanku, sayang padaku,
 Itu firman-Nya di dalam Alkitab.
 
 Yesus sayang padaku, Dia selalu beserta,
 Sampai tiba ajalku, ku dibawa ke surga.
 Yesus Tuhanku, sayang padaku,
 Itu firman-Nya di dalam Alkitab.",,
indonesia,"Mari Datanglah, Sembah Sang Raja",Robert Grant," Mari datanglah, sembah Sang Raja,
 Puji kasih-Nya, megahkan kuasa-Nya.
 Sejak dahulu Dialah Pelindungku.
 Bertakhta di surga penuh mulia.
 
 Datang memuji, kasih agung-Nya,
 Terang jubah-Nya, langit tirai-Nya;
 Allah datang menembus awan gelap,
 Guntur angin topan tak merintangi-Nya.
 
 Dunia tak mampu menceritakan,
 Keagungan-Mu zaman ke zaman;
 Firman-Nya yang kekal menjadikannya,
 Lautan terhampar dalam batasnya.
 
 Ku mau tuturkan, kasih rahmat-Nya,
 Tiupan nafas-Nya, pancarkan terang-Nya.
 Sumber dari bukit turun ke ladang,
 Ia curahkan hujan sejukkan bumi.
 
 Manusia lemah yang dari debu,
 Percayalah Dia jangan kau tunda.
 Pencipta, Penebus, Sobat, Pembela,
 Anugerah-Mu lembut teguh selamanya.
 
 Kasih-Nya besar tiada bandingnya,
 Kristus di surga, malak menyembah.
 Seluruh ciptaan-Nya gentar bersujud,
 dengan pujian besar semua bertelut.",,
indonesia,"Kudus, Kudus, Kudus",Reginald Heber,"Kudus, kudus, kudus, Allah Maha kuasa,
 Pada dini hari kami memuji-Mu.
 Kudus, kudus, kudus, kuasa dan rahmani
 Allah Tritunggal, agung mulia Hu
 
 Kudus, kudus, kudus, kaum suci berbakti,
 letakkan mahkota depan laut kaca-Mu.
 Kerubim, Serafim, menyembah pada-Mu,
 Kekal tak berubah, Allah yang Maha Kudus.
 
 Kudus, kudus, kudus, Allah Maha Kudus,
 Insan yang berdosa tak Nampak mulia-Mu.
 Hanya Kau yang Kudus, Allah tak bertara,
 Sempurna kuasa, kasih suci-Mu.
 
 Kudus, kudus, kudus, Allah Maha kuasa.
 Nama-Mu terpuji dalam langit bumi.
 Kudus, kudus, kudus, kuasa dan rahmani
 Allah Tritunggal, agung mulia Hu.",,
indonesia,"O Bangkitlah, Kabarkan Injil Tuhan",Mary A. Thomson,"O bangkitlah, kabarkan Injil Tuhan
pada umat di seluruh dunia,
agar tahu Allah mengasihinya,
tak seorang yang akan binasa.
Kabarkan berita Injil damai.
kabarkan Yesus menebus manusia.

Kabarkanlah kepada bangsa-bangsa
kasih Allah melebihi semua;
demi kita rela datang ke dunia,
mati di salib menebus kita.

Tetap taat kabarkan Injil mulia,
persembahkan harta, jiwa, rohmu,
berdoalah agar menang berperang,
persembahanmu, pahala kelak.",,
indonesia,Janji Tuhan Setia,Lewi Pethrus,"Janji Tuhan itu setia,
tiap kata benar;
Darah Yesus jaminannya,
kuat teguh dan kekal.
Meski dunia binasa,
gunung dan bukit musnah;
Namun asal percaya,
terbukti buah iman.

Bila jalan gelap gulita,
tiada nampak caheya;
Tetap sabarlah menunggu,
fajar segera muncul.

Sobat dunia dapat berubah,
Allah tetap setia;
Dia Sobat dan Juruselamat
yang kekal selamanya.

Bagaimanapun keadaan,
tetap percayalah;
Pada saat yang ditunggu,
janji Allah sungguh.",,
indonesia,Kristus Yesus Bangkitlah,Charles Wesley,"Kristus Yesus bangkitlah,
Haleluya!
Malak makhluk soraklah,
Haleluya!
Angkat suara pujilah,
Haleluya!
Bumi surga beria,
Haleluya!

Raja Mulia bangkitlah,
Haleluya!
Jiwaku ditebus-Nya,
Haleluya!
Sengatmu di manakah?
Haleluya!
Hai maut dan pintu neraka,
Haleluya!

Kini ku mau ikut Yesus,
Haleluya!
Ikut Dia maju terus,
Haleluya!
Turut teladan Tuhanku,
Haleluya!
Tanggung salib serta Hu,
Haleluya!",,
indonesia,"O, Datanglah Imanuel",Thomas Helmore,"O, datanglah Imanuel,
tebus umat-Mu Israel,
yang sedang berkeluh kesah,
menantikan penolongnya.
Bersoraklah, hai Israel,
menyambut Sang Imanuel!

O, datanglah Terang Fajar,
hibur umat-Mu Israel.
Halaukanlah gelap suram
dan bayang-bayang maut kejam.

O, datanglah Raja mulia
memerintah di takhta-Nya.
Dengan hikmat penuh kuasa,
umat-Mu turut perintah-Nya.

O, datanglah Pengharapan,
menyatukan umat Tuhan,
menghapuskan permusuhan,
beri damai dan pengharapan.",,
indonesia,Kasih Mengangkatku,James Rowe,"Dalam lautan yang kelam terancam jiwaku;
dalam dosa tenggelam hilang harapanku;
tapi Tuhan berkenan dengar seruanku,
lalu ku diselamatkan Mukhalisku.
Kasih kudus, Sang Penebus,
ku telah diselamatkan kasih kudus.
Kasih kudus, Sang Penebus,
ku telah diselamatkan kasih-Nya terus.

Kasih-Nya kudus besar patut dibalaskan,
karenanya dengan gemar kunyanyi pujian;
dan serahkan tubuhku dan jiwa pada-Nya,
melayani Tuhanku selamanya.

Orang yang terancam maut, maukah dilepaskan,
jiwamu akan selamat ditolong Anak Daud;
segenap kekuasaan ada di tangan-Nya,
mintalah keselamatan kepada-Nya.",,
indonesia,Dengar Malak Bersorak,Old French Melody,"Dengar malak bersoraklah,
suara dari surga,
Suara merdu bergemalah,
dalam terang cahya mulia,
Gloria, mulia bagi Allah,
Gloria, mulia bagi Allah!

Pada malam gelap gulita,
gembala jaga domba,
Suara malak terdengarlah,
bawa berita ke dunia,

Di palungan Yesus lahir,
Juruselamat datanglah.
Mari kita bergemarlah,
Tuhan kita lahirlah.",,
indonesia,Juruselamat Kita yang Besar,J. W. Chapman,"Yesus! Sobat kaum berdosa,
dan kekasih jiwaku;
Kawan, seteru melawanku,
Yesus Juruselamatku.
Haleluya! Juruselamat,
Yesus Sobat yang benar,
Serta, kawal, hingga tamat,
kasih tolong-Nya besar.

Ku lemah sering kali kalah
dalam pencobaan gelap,
Yesus kuatkan, ku menanglah,
ku berlindung pada-Nya.

Yesus tolong dalam susah
biar ombak menempuh,
Rasa hati pecah gelisah,
Ia hiburkan jiwaku.

Yesus Penopang Penjaga,
walau badai menerjang,
Angin topan bencana pun,
Tuhan tetap beserta.

Yesus segalanya bagiku,
sejak Kau menerimaku.
Pengampunan telah Kau berikan,
Kau milikku, ku milik-Mu.",,
indonesia,Roh Penghibur Datang,Frank Bottome,"Beritakan kabar terang, ke seluruh dunia,
karena manusia tertindih dosa berat.
Mulia Injil Tuhan bersorak masyhurkan,
Roh Penghibur datang!
Roh Penghibur datang, Roh Penghibur datang,
datang dari surga, genapkan janji Allah.
Tolong ku siarkan, mulia Injil Tuhan;
Roh Penghibur datang!

Sidang Hu bangunlah, bersehati bekerja,
pergi ke mana jua, tolong yang berdosa.
Kuasa gelap lenyaplah nampak mulia surga,
Roh Penghibur datang!

Kuasa dosa lepas, aku telah bebas,
ikatan tak ada, maut pun tak berdaya.
Ku tolak dunia, rindu kan anugrah,
Roh Penghibur datang!

Lidahku memuji kasih-Mu yang besar,
Serta memberitakan anugeran Ilahi.
Dulu dalam dosa, sekarang saksikan Dia,
Roh Penghibur datang!",,
english,The Comforter Has Come,Frank Bottome,"Oh, spread the tidings around, wherever man is found,
Wherever human hearts and human woes abound;
Let every Christian tongue proclaim the joyful sound:
The Comforter has come!
The Comforter has come, the Comforter has come!
The Holy Ghost from Heaven, the Father is promise given;
Oh, spread the tidings around, wherever man is found—
The Comforter has come!

The long, long night is past, the morning breaks at last,
And hushed the dreadful wail and fury of the blast,
As over the golden hills the day advances fast!
The Comforter has come!

Lo, the great King of kings, with healing in His wings,
To every captive soul a full deliverance brings;
And through the vacant cells the song of triumph rings;
The Comforter has come!

O boundless love divine! How shall this tongue of mine
To wondering mortals tell the matchless grace divine—
That I, a child of hell, should in His image shine!
The Comforter has come!

Sing till the echoes fly above the vaulted sky,
And all the saints above to all below reply,
In strains of endless love, the song that never will die:
The Comforter has come!",,
indonesia,Tiap Langkahku,W. Elmo Mercer,"Tiap langkahku diatur oleh Tuhan
dan tangan kasih-Nya memimpinku.
O senangnya berjalan dengan Tuhan,
hatiku kagum kepada-Nya.
Tiap langkahku, ku tahu Tuhan yang pimpin,
ke tempat tinggi ku dihantar-Nya,
hingga sekali nanti aku tiba
di rumah Bapa surga yang baka.

Di waktu imanku mulai goyah,
dan bila jalanku hampir sesat.
ku pandang Juruselamatku yang mulia,
aku kuat sebab Dia dekat.

Di dalam Tuhan saja kupercaya,
sebab di tangan-Nya hidup kekal.
Dibuka-Nya jalan menuju surga,
ke sana aku dibawa-Nya.",,
english,Each Step I Take,W. Elmo Mercer,"Each step I take my Saviour goes before me,
And with His loving hand He leads the way,
And with each breath I whisper, ""I adore Thee;""
Oh, what joy to walk with Him each day.
Each step I take, I know that He will guide me;
To higher ground He ever leads me on.
Until some day the last step will be taken.
Each step I take just leads me closer home.

At times I feel my faith begin to waver,
When up ahead I see a chasm wide.
It is then I turn and look up to my Savior,
I am strong when He is by my side.

I trust in God, no matter come what may,
For life eternal is in His hand,
He holds the key that opens up the way,
That will lead me to the promised land.",,
indonesia,Sucikan Hatiku,Mrs. A. L. Davison,"Sucikan hatiku, ya, Tuhanku.
 Semuanya kuserahkan kepada-Mu.
 Tuhan, pimpin aku pada jalan benar.
 Sucikanku, Oh, Tuhanku.
 
 Sucikan hatiku, ya, Tuhanku,
 agar ku selalu taat kehendak-Mu.
 Mohon Tuhan pimpin sepanjang hidupku.
 Sucikanku, Oh, Tuhanku.
 
 Sucikan hatiku, ya, Tuhanku,
 agar ku melihat kemuliaan-Mu.
 Lepas dari belenggu ku taat pada-Mu.
 sucikanku, Oh, Tuhanku.",,
indonesia,Ku Bertemu Yesus Sobatku,Jack P. Scholfield,"Ku bertemu Yesus Sobatku,
Kasih-Nya sempurna.
Ku mau saksikan anugerah-Nya
Dan rahmat yang selamatkanku.
Ajaib anugerah-Nya, beri hidup yang baru.
Hidup sukacita penuhi hatiku, selamatkanku.

Hu selamatkanku dari dosa
Serta memelihara.
Kini kusandar lengan kuasa,
sepanjang hidup Yesus serta.

Bila aku miskin dan piatu,
suara-Nya menghibur,
""Marilah kepada-Ku sekarang,
Ku tentu bawa kau pulang.""",,
english,Saved! Saved!,Jack P. Scholfield,"I have found a friend, who is all to me,
His love is ever true.
I love to tell how He lifted me
And what His grace can do for you.
Saved by His power divine,
Saved to new life sublime!
Life now is sweet and my joy is complete
For I am saved, saved, saved!

He saves me from every sin and harm,
secures my soul each day.
I am leaning strong on His mighty arm;
I know He will guide me all the way.

When poor and needy and all alone,
In love He said to me,
""Come unto Me and I will lead you home,
To live with Me eternally.""",,
indonesia,Puji Nama Tuhan,Charles Wesley,"Marilah semua makhluk-Nya puji nama Tuhan,
Allah Raja yang mulia, puji nama Tuhan.
Puji nama-Nya, puji nama-Nya
puji akan nama Tuhan.
Puji nama-Nya puji nama-Nya
puji akan nama Tuhan.

Nama Yesus menenangkan segala ketakutan,
terdengar Yesus memanggil mereka yang berdosa.

Kuasa dosa dihancurkan, puji nama Tuhan,
Darah-Nya yang menyucikan, puji nama Tuhan.",,
indonesia,Ia Melindungi Jiwaku,Fanny J. Crosby,"Yesus Kristus Juruselamat yang ajaib,
dan Tuhan sungguh milikku.
Ia genggamku dalam tangan yang teguh,
dan bawa ke sungai teduh.
Ia menggenggamku dalam tangan teguh;
kurasa aman dan tenteram.
dengan kasih-Nya, segarkan jiwaku,
Ia bimbingku sepanjang hidup,
Ia bimbingku sepanjang hidup.

Yesus Kristus Juruselamat yang ajaib,
Ia menanggung semua bebanku.
Ia menopang sehingga ku tak goyah,
dan berikanku kekuatan-Nya.

Anugerah-Nya diberikan setiap saat,
Roh-Nya penuhi hatiku.
Bila ku diangkat-Nya kupuji Dia,
mulia bagi Penebusku.",,
indonesia,Tertunduk Kepala-Mu,Hans L. Hassler,"Tertunduk kepala-Mu, oh, Yesus Tuhanku.
 Dan duri tajam itu, jadi mahkota-Mu.
 Sungguh pun dalam surga, Engkau sangat mulia.
 Ku mengingat kasih-Mu, selama ku milik-Mu
 
 Kau menanggung segalanya, malu siksa hina.
 Cahaya-Mu yang mulia, penuh suram duka.
 Sungguh pun ku penuh dosa, hidup jauh dari-Mu.
 Namun Kau rela mati, hidupkan jiwaku.
 
 Untuk mengucap syukur, membalas rahmat-Mu.
 Ku mau puji selalu, Tuhan Kau, Sobatku.
 Jadikan ku milik-Mu, sampai selamanya.
 Selamanya ku pancarkan kasih-Mu padaku.",,
indonesia,Hai Semua Ciptaan-Nya,Francis of Assisi; Tr. by William H. Draper,"Hai, semua ciptaan-Nya,
 bernyanyi dan memujilah!
 Haleluya! Haleluya!
 Sinar mentari memancar,
 terang lembut bulan bersinar.
 Puji Allah! Puji Allah!
 Haleluya! Haleluya! Haleluya!
 
 Air jernih mengalirlah,
 bagai musik kidung indah.
 Puji Allah! Haleluya!
 Kaulah sumber terang kekal,
 Yang memberikan kehangatan.
 Puji Allah! Puji Allah!
 Haleluya! Haleluya! Haleluya!
 
 Hai, semua ciptaan-Nya,
 bersujud dan menyembahlah!
 Puji Allah! Haleluya!
 Puji Bapa, Putra, dan Roh,
 puji Dia Allah yang Esa.
 Puji Allah! Puji Allah!
 Haleluya! Haleluya! Haleluya!",,
indonesia,Masyhurkan Raja-Mu,Charles Wesley,"Masyhurkan Rajamu, dan sembahlah Dia;
Angkatlah suaramu, bernyanyi bergemar.
Bernyanyilah, dengan hati bergemar memuji Dia!

Kristus memerintah, kasih-Nya besarlah;
Yang basuh dosaku, bertakhta di surga.
Bernyanyilah, dengan hati bergemar memuji Dia!

Kristus Yesus Tuhan, takhta-Nya kekallah;
Kunci kerajaan maut, diberikan pada-Nya.
Bernyanyilah, dengan hati bergemar memuji Dia!

Bersukacitalah, Kristus akan datang;
Membawa umat-Nya ke tempat yang kekal.
Bernyanyilah, dengan hati bergemar memuji Dia!
",,
indonesia,Tinggal Sertaku,H. F. Lyte,"Tinggal sertaku, Kawan yang Kudus!
 Telah hampir malam, jangan jalan terus!
 Tiada penolong, hanya Tuhanku.
 Maha Penolong tinggal sertaku.
 
 Hariku surut seperti air di laut.
 Hormat dan nama hilang dalam maut.
 Siapa penuntun yang setara-Mu?
 Yang tak berubah tinggal sertaku.
 
 Tak ada musuh yang menakutkan.
 Tiada air mata beri kepahitan.
 Sengatmu maut, mana kuasamu?
 Tuhan yang bangkit tinggal sertaku.
 
 Salib-Mu Kristus tetap kupegang,
 Membawaku terus ke Negeri Terang.
 Surga kutuju, dunia tak perlu.
 Hidup atau mati, sertaiku.",,
indonesia,"Hai, Bangkitlah! Sambut Hari Mulia",John Bayrom,"Hai, bangkitlah sambut hari mulia,
Kristus telah lahir di dunia.
Puji Dia yang Maha Pengasih;
Ia dilahirkan dara Maria.
Saat itu malak pun memuji,
Allah telah menjadi manusia.

Dan gembala menjaga dombanya,
mendengar warta suka Sang Malak.
Kristus lahir berita sukacita
pada semua umat di dunia.
janji-Nya kini sudah genaplah;
Lahir Kristus Yesus Juruselamat.

Malak surga tetap memuji Dia,
bergemar, memuliakan nama-Nya.
Kasih Tuhan dan penebusan-Nya.
Haleluya! Angkasa bergema,
di bumi damai bagi manusia,
di tempat tinggi mulia bagi-Nya.",,
english,Christians Awake! Salute the Happy Morn,John Bayrom,"Christians, awake, salute the happy morn,
whereon the Savior of the world was born!
Rise to adore the mystery of love
which hosts of angels chanted from above.
With them the joyful tidings first begun,
of God incarnate and the virgin is Son.

Then to the watchful shepherds it was told,
who heard the angelic herald is voice, ""Behold,
I bring good tidings of a Savior is birth
to you and all the nations of the earth.
This day hath God fulfilled His promised word.
This day is born a Savior, Christ the Lord.""

Then may we hope, the angelic hosts among,
To sing, redeemed, a glad triumphal song.
He that was born upon this joyful day,
around us all His glory shall display.
Saved by His love, incessantly we sing
eternal praise to Heaven is almighty King.",,
indonesia,Tuhan Memegang Pimpinan,J. H. Gilmore,"Tuhan memegang pimpinan
dalam tiap perbuatanku.
Hatiku senang dan aman,
Tuhan memimpin hidupku.
Tuhan memegang pimpinan,
tangan-Nya teguh sentosa.
Ku diberi penuh iman,
Tuhan memimpin hamba-Nya.

Peganglah tanganku erat
betapa keadaanku.
Aku pun percaya taat
sebab Tuhan pemimpinku.

Bila kerja dunia usai
dan hamba-Mu diberi menang,
akan maut ku tak gentar,
ku dipimpin-Nya ke seberang.",,
indonesia,Hitung Berkatmu,"Johnson Oatman, Jr.","Bila gelombang kehidupan menimpa,
hati jadi takut dan putus asa,
hitunglah berkat-Nya satu per satu,
pasti kau tercengang akan karya-Nya.
Hitung berkat satu per satu,
dan lihatlah karya Tuhanmu.
Hitung berkat satu per satu,
Hitung berkat yang melimpah padamu.

Adakah berat beban menekanmu?
Dan salib yang kaupikul melelahkan?
Hitunglah berkat-Nya, kau tak kan ragu,
kau kan memuji Dia sepanjang waktu.

Bila kau memandang harta orang lain,
ingat janji Kristus yang lebih permai.
Hitung berkat Tuhan yang tak terbeli,
pahala di surga yang tak terperi.

Dalam pergumulanmu di dunia,
jangan khewatir Tuhan akan beserta.
Ia mengirim malaikat-Nya menjaga,
membimbing, menghiburmu sampai surga.",,
indonesia,Puji Tuhan Yang Maha Kuasa,Joachim Neander,"Puji Tuhan Raja dan Pencipta Maha Kuasa,
Puji Tuhan karena Dia Penebus yang kekal.
Mari kita menghampiri takhta-Nya,
Memuji memuliakan-Nya.

Puji Tuhan yang memerintah semesta alam,
Kau dilindungi di bawah naungan sayap-Nya.
Hai lihatlah, Ia mendengar doamu,
Memimpin jalan hidupmu.

Puji Tuhan yang memeliharakan hidupmu,
Dia menuntun hidupmu di dalam kasih-Nya.
Khewatir sirna, kelegaan tibalah,
Aman di naungan sayap-Nya.

Puji Tuhan memeliharaku dan karya-Nya,
Tak kekurangan kebaikan kemurahan-Nya.
Ia berkuasa melakukan kehendak-Nya,
Ingat kasih-Nya padamu.

Puji Tuhan hai jiwaku, sembahlah Tuhanmu,
Mari semua yang bernapas menyembah pada Hu.
Hai umat-Nya, bergemar sembahlah Dia,
""Amin, pujilah nama-Nya.""",,
english,"Praise To The Lord, The Almighty",Joachim Neander,"Praise to the Lord, the Almighty, the King of creation!
O my soul, praise him, for he is thy health and salvation!
All ye who hear, now to his temple draw near,
Join me in glad adoration.

Praise to the Lord, who over all things so wondrously reigneth,
Shelters thee under His wings, yea, so gently sustaineth!
Hast thou not seen how thy desires ever have been
Granted in what He ordaineth.

Praise to the Lord, who hath fearfully, wondrously, made thee;
Health hath vouchsafed and, when heedlessly falling, hath stayed thee.
What need or grief ever hath failed of relief?
Wings of His mercy did shade thee.

Praise to the Lord, who doth prosper thy work and defend thee;
Surely His goodness and mercy here daily attend thee.
Ponder anew what the Almighty can do,
If with His love He befriend thee.

Praise to the Lord, O let all that is in me adore Him!
All that hath life and breath, come now with praises before Him.
Let the Amen sound from His people again,
Gladly for aye we adore Him.",,
indonesia,Yang Ku Persembahkan,William How,"Yang ku persembahkan, berasal dari-Mu,
ku sembahkan kepada-Mu ku jadi hamba-Mu.

Dan semua milikku, ku terima dari-Mu,
Bagaikan buah sulungku ku berikan pada-Mu.

Tuhan peliharaku dan ku dikuatkan,
ku giat melayani-Mu, muliakan nama-Mu.",,
indonesia,Berlutut Di Palungan-Mu,Paul Gerhardt,"Berlutut di palungan-Mu,
ya Yesus Sumber Hidup,
ku bawa persembahanku
yang memang hak milik-Mu,
hatiku, roh dan jiwaku,
seluruh isi hidupku,
pada-Mu berkenanlah!

Di malam maut yang kelam,
ya Yesus, Kau Suryaku,
kau bawa hidup dan terang
dan damai kepadaku,
O Surya kasih yang besar,
Pemancar iman yang benar,
cahya-Mu sungguh indah!

Tetapi nikmat dunia,
ya Tuhan tak Kau cari,
Kau datang miskin dan lemah,
sengsara Kau hadapi,
Engkau memikul salib-Mu
demi keselamatanku,
terima kasih, Tuhan.

Yang aku mohon pada-Mu,
ya Yesus hanya satu,
berdiamlah di hatiku
sekarang dan selalu,
Jadikanlah nuraniku
palungan-Mu dan takhta-Mu,
limpahkan sukacita.",,
indonesia,Apa yang Kau Perbuat bagi Yesus?,Emily P. Miller,"Apa yang kau buat bagi-Nya?
Tiap hari giatkah?
Rajinkah engkau beritakan
Injil keselamatan?
Apa kau perbuat bagi Tuhanmu?
Apa kau peroleh kerja bagi Hu?
Setiap harinya, apa kerjamu?
Apa kau perbuat bagi Tuhanmu?

Apa yang kau buat bagi-Nya?
Tiap hari semangatkah?
Bersandarkah kau pada-Nya
saksikan kasih-Nya?

Apa yang kau buat bagi-Nya?
Menebus waktukah?
Malam gelap siang pun datang
siap jumpa wajah-Nya.",,
indonesia,"Hai, Mari Berhimpun",Cantus Diversi,"Hai, mari berhimpun dan bersukaria!
Hai, mari semua ke Betlehem.
Lihat yang lahir, Raja bala surga.
Sembah dan puji Dia,
sembah dan puji Dia,
Sembah dan puji Dia Tuhanmu.

Hai, para malaikat, angkatlah suaramu,
dan bala surga pun bernyanyilah!
Muliakanlah Allah, Bapa dalam surga.

Ya, Tuhan yang lahir pada hari ini,
ya, Yesus, terpujilah nama-Mu!
Firman menjelma menjadi manusia.",,
indonesia,Ku Tahu Alkitab Sungguh Benar,B. B. McKinney,"Ku tau Alkitab anugerah
yang datang dari Allah,
Ku tau Alkitab sungguh benar,
firman hidup dan kudus.
Ya, tau, ku tau,
Alkitab sungguh benar.
Seluruhnya wahyu yang Ilahi,
Alkitab sungguh benar.

Ku tau cerita Kristus benar,
kelahiran-Nya ajaib,
Dari kematian Dia bangkit
dan kan datang kembali.

Ku tau Alkitab memberi damai,
dan tetap di hatiku,
Tiap hari ku dipuaskan-Nya
dan menang atas dosa.

Alkitab kekal sepanjang masa,
beritanya tetap baru,
Kebenaran-Nya makin indah
bila terus diberitakan.",,
indonesia,"Hai Dunia, Lihat Tuhan",Paul Gerhardt,"Hai dunia, lihat Tuhan, Sang Surya kehidupan
 tergantung di salib, Sang Raja Kemuliaan,
 menanggung penghinaan, sengsara siksa yang keji.
 
 Akulah yang celaka, Ku patut ke neraka
 akibat dosaku, Ku patut menderita
 Segala dukacita, perih dan sakit bilur-Mu
 
 Kauangkat ke bahu-Mu segala tanggunganku
 yang menekan berat. Sedang Engkau dikutuk,
 ku bebas dan terluput, Salib-Mu itulah berkat.
 
 Dengan menyangkal diri ku ingin mengiringi
 Engkau ya Tuhanku, di dalam sukacita,
 Pun dalam menderita, tetap setia pada-Mu.",,
